Streaming output truncated to the last 5000 lines.
>49803, d1[0.323] d2[0.329] g[4.512]
>49804, d1[0.344] d2[0.398] g[5.029]
>49805, d1[0.278] d2[0.338] g[4.291]
>49806, d1[0.406] d2[0.280] g[5.329]
>49807, d1[0.259] d2[0.386] g[4.481]
>49808, d1[0.301] d2[0.329] g[4.715]
>49809, d1[0.354] d2[0.351] g[5.674]
>49810, d1[0.374] d2[0.405] g[4.243]
>49811, d1[0.385] d2[0.348] g[3.566]
>49812, d1[0.308] d2[0.337] g[4.360]
>49813, d1[0.413] d2[0.351] g[1.766]
>49814, d1[0.231] d2[0.385] g[4.122]
>49815, d1[0.256] d2[0.343] g[5.064]
>49816, d1[0.260] d2[0.310] g[5.158]
>49817, d1[0.526] d2[0.250] g[4.061]
>49818, d1[0.335] d2[0.339] g[5.301]
>49819, d1[0.346] d2[0.276] g[4.556]
>49820, d1[0.408] d2[0.393] g[3.521]
>49821, d1[0.247] d2[0.442] g[4.721]
>49822, d1[0.342] d2[0.389] g[4.958]
>49823, d1[0.417] d2[0.255] g[4.190]
>49824, d1[0.556] d2[0.233] g[3.198]
>49825, d1[0.437] d2[0.302] g[3.724]
>49826, d1[0.250] d2[0.280] g[5.760]
>49827, d1[0.370] d2[0.386] g[3.004]
>49828, d1[0.206] d2[0.396] g[5.607]
>49829, d1[0.410] d2[0.270] g[4.171]
>49830, d1[0.353] d2[0.343] g[4.287]
>49831, d1[0.415] d2[0.350] g[2.320]
>49832, d1[0.307] d2[0.387] g[4.286]
>49833, d1[0.190] d2[0.307] g[5.287]
>49834, d1[0.397] d2[0.305] g[4.080]
>49835, d1[0.191] d2[0.273] g[5.259]
>49836, d1[0.327] d2[0.292] g[4.256]
>49837, d1[0.151] d2[0.270] g[5.282]
>49838, d1[0.374] d2[0.372] g[3.477]
>49839, d1[0.203] d2[0.275] g[5.125]
>49840, d1[0.322] d2[0.509] g[1.496]
>49841, d1[0.357] d2[0.393] g[1.343]
>49842, d1[0.587] d2[0.225] g[3.126]
>49843, d1[0.440] d2[0.370] g[2.510]
>49844, d1[0.360] d2[0.332] g[4.109]
>49845, d1[0.321] d2[0.386] g[3.192]
>49846, d1[0.230] d2[0.349] g[5.388]
>49847, d1[0.278] d2[0.423] g[5.377]
>49848, d1[0.419] d2[0.274] g[4.692]
>49849, d1[0.217] d2[0.286] g[5.183]
>49850, d1[0.323] d2[0.274] g[5.607]
>49851, d1[0.173] d2[0.394] g[5.406]
>49852, d1[0.367] d2[0.362] g[1.169]
>49853, d1[0.548] d2[0.248] g[4.733]
>49854, d1[0.548] d2[0.221] g[3.977]
>49855, d1[0.376] d2[0.363] g[1.087]
>49856, d1[0.450] d2[0.241] g[4.902]
>49857, d1[0.436] d2[0.265] g[4.472]
>49858, d1[0.415] d2[0.269] g[4.153]
>49859, d1[0.375] d2[0.308] g[3.897]
>49860, d1[0.323] d2[0.407] g[1.886]
>49861, d1[0.288] d2[0.300] g[4.809]
>49862, d1[0.327] d2[0.313] g[3.952]
>49863, d1[0.172] d2[0.370] g[4.866]
>49864, d1[0.373] d2[0.287] g[3.627]
>49865, d1[0.258] d2[0.291] g[4.336]
>49866, d1[0.217] d2[0.516] g[3.994]
>49867, d1[0.212] d2[0.336] g[4.513]
>49868, d1[0.480] d2[0.278] g[3.295]
>49869, d1[0.203] d2[0.269] g[4.828]
>49870, d1[0.281] d2[0.404] g[4.247]
>49871, d1[0.162] d2[0.239] g[5.258]
>49872, d1[0.170] d2[0.274] g[4.123]
>49873, d1[0.354] d2[0.389] g[1.566]
>49874, d1[0.419] d2[0.318] g[3.953]
>49875, d1[0.318] d2[0.485] g[3.805]
>49876, d1[0.216] d2[0.398] g[4.145]
>49877, d1[0.372] d2[0.353] g[2.078]
>49878, d1[0.508] d2[0.280] g[4.722]
>49879, d1[0.403] d2[0.352] g[1.983]
>49880, d1[0.382] d2[0.389] g[4.430]
>49881, d1[0.431] d2[0.313] g[3.838]
>49882, d1[0.432] d2[0.287] g[4.087]
>49883, d1[0.268] d2[0.420] g[5.030]
>49884, d1[0.305] d2[0.309] g[4.887]
>49885, d1[0.404] d2[0.323] g[3.807]
>49886, d1[0.333] d2[0.308] g[3.977]
>49887, d1[0.205] d2[0.291] g[4.789]
>49888, d1[0.290] d2[0.249] g[3.645]
>49889, d1[0.143] d2[0.280] g[5.534]
>49890, d1[0.155] d2[0.255] g[4.743]
>49891, d1[0.183] d2[0.241] g[4.107]
>49892, d1[0.158] d2[0.302] g[4.926]
>49893, d1[0.444] d2[0.302] g[3.773]
>49894, d1[0.193] d2[0.290] g[5.885]
